"","number","species","site","region","sequence","crown.exp","canopy_scope","have.record","have.plot","resurvey"
"1","cafo_1_1","cafo","g17_1","L6","1",3,8.5,"1",NA,"1"
"2","hyvi_1_1","hyvi","g17_1","L6","1",2.5,7.5,"1",NA,"1"
"3","tebi_1_1","tebi","g17_1","L6","1",3,12,"1",NA,"1"
"4","smla_1_1","smla","g17_1","L6","1",3,9.5,"1",NA,"m"
"5","cafo_1_2","cafo","g17_2","L6","2",2.5,6.5,"1",NA,"1"
"6","hyvi_1_2","hyvi","g17_2","L6","2",2,5,"1",NA,"1"
"7","tebi_1_3","tebi","g17_3","L6","3",2,3.5,"1",NA,"1"
"8","cafo_1_3","cafo","g17_3","L6","3",1.5,2.5,"1",NA,"0"
"9","cafo_2_1","cafo","g18_1","L6","1",2,5,"1",NA,"1"
"10","smla_2_3","smla","g18_1","L6","1",3,12,"1",NA,"1"
"11","tebi_2_1","tebi","g18_1","L6","1",2.5,5,"1",NA,"1"
"12","cafo_2_2","cafo","g18_2","L6","2",1,2.5,"1",NA,"1"
"13","smla_2_2","smla","g18_2","L6","2",1,3,"1",NA,"0"
"14","tebi_2_2","tebi","g18_2","L6","2",1,4.5,"1",NA,"1"
"15","smlaz_1_1","smla","gzt_1_1","ZT","1",3,16,"1",1,"0"
"16","pefoz_1_1","pefo","gzt_1_1","ZT","1",3,17.5,"1",1,"0"
"17","tebiz_1_1","tebi","gzt_1_1","ZT","1",2.5,15,"1",1,"1"
"18","aeacz_1_1","aeac","gzt_1_1","ZT","1",2,8,"1",1,"1"
"19","tebiz_1_2","tebi","gzt_1_2","ZT","2",1,2.5,"1",1,"m"
"20","smla_1_2","smla","gzt_1_2","ZT","2",1,2,"1",1,"0"
"21","aeacz_1_2","aeac","gzt_1_2","ZT","2",1,3.5,"1",1,"1"
"22","tebiz_1_3","tebi","gzt_1_3","ZT","3",2,6,"1",1,"m"
"23","smlaz_1_4","smla","gzt_1_4","ZT","4",2,4.5,"1",1,"1"
"24","pefoz_1_4","pefo","gzt_1_4","ZT","4",1,4.5,"1",1,"1"
"25","pisiz_2_1","pisi","gzt_2_1","ZT","1",1,2,"iron",1,"1"
"26","aeacz_2_1","aeac","gzt_2_1","ZT","1",1,2,"iron",1,"1"
"27","cafoz_2_1","cafo","gzt_2_1","ZT","1",2.5,8,"iron",1,"1"
"28","hyviz_2_1","hyvi","gzt_2_1","ZT","1",2.5,5.5,"iron",1,"1"
"29","aeacz_2_2","aeac","gzt_2_2","ZT","2",3,6,"iron",1,"1"
"30","pssez_2_2","psse","gzt_2_2","ZT","2",1,3,"iron",1,"1"
"31","smlaz_2_2","smla","gzt_2_2","ZT","2",2,4,"iron",1,"m"
"32","smlaz_2_3","smla","gzt_2_3","ZT","3",2.5,7,"iron",1,"1"
"33","pefoz_2_3","pefo","gzt_2_3","ZT","3",2.5,11.5,"iron",1,"m"
"34","pisiz_2_3","pisi","gzt_2_3","ZT","3",2,7.5,"iron",1,"1"
"35","tebiz_2_3","tebi","gzt_2_3","ZT","3",2.5,11.5,"iron",1,"m"
"36","aeacz_2_3","aeac","gzt_2_3","ZT","3",3,15.5,"iron",1,"1"
"37","pssez_2_3","psse","gzt_2_3","ZT","3",2,4,"iron",1,"1"
"38","cafoz_2_3","cafo","gzt_2_3","ZT","3",2,9.5,"iron",1,"1"
"39","hyviz_2_3","hyvi","gzt_2_3","ZT","3",1.5,3,"iron",1,"1"
"40","tebiz_2_4","tebi","gzt_2_4","ZT","4",1,3,"iron",1,"m"
"41","smlaz_2_4","smla","gzt_2_4","ZT","4",1.5,3.5,"iron",1,"0"
"42","aeacz_2_4","aeac","gzt_2_4","ZT","4",1,2.5,"iron",1,"1"
"43","pisiz_2_4","pisi","gzt_2_4","ZT","4",1,3,"iron",1,"m"
"44","hyviz_2_4","hyvi","gzt_2_4","ZT","4",1,4,"iron",1,"1"
"45","tebiz_3_1","tebi","gzt_3_1","ZT","1",2.5,22.5,"iron",1,"1"
"46","aeacz_3_1","aeac","gzt_3_1","ZT","1",2.5,12.5,"iron",1,"m"
"47","pisiz_3_1","pisi","gzt_3_1","ZT","1",2.5,10,"iron",1,"1"
"48","pssez_3_1","psse","gzt_3_1","ZT","1",3,14,"iron",1,"1"
"49","pefoz_3_1","pefo","gzt_3_1","ZT","1",2.5,12,"iron",1,"m"
"50","hyviz_3_1","hyvi","gzt_3_1","ZT","1",2.5,7,"iron",1,"m"
"51","pefoz_3_2","pefo","gzt_3_2","ZT","2",4,23.5,"iron",1,"0"
"52","tebiz_3_2","tebi","gzt_3_2","ZT","2",2,8,"iron",1,"m"
"53","hyviz_3_2","hyvi","gzt_3_2","ZT","2",4,22,"iron",1,"0"
"54","aeacz_3_2","aeac","gzt_3_2","ZT","2",2.5,10,"iron",1,"1"
"55","tebiz_3_3","tebi","gzt_3_3","ZT","3",1,3.5,"iron",NA,"0"
"56","aeacz_3_3","aeac","gzt_3_3","ZT","3",1.5,5.5,"iron",NA,"1"
"57","pefoz_3_3","pefo","gzt_3_3","ZT","3",2,12,"iron",NA,"m"
"58","hyviz_3_3","hyvi","gzt_3_3","ZT","3",2,6,"iron",NA,"m"
"59","hyviz_3_4","hyvi","gzt_3_4","ZT","4",1.5,7.5,"iron",NA,"m"
"60","pssez_4_1","psse","gzt_4_1","ZT","1",2,4.5,"1",1,"1"
"61","tebiz_4_1","tebi","gzt_4_1","ZT","1",2,3.5,"1",1,"m"
"62","hyviz_4_1","hyvi","gzt_4_1","ZT","1",2,7.5,"1",1,"0"
"63","cafoz_4_1","cafo","gzt_4_1","ZT","1",1.5,5.5,"1",1,"1"
"64","cafoz_4_2","cafo","gzt_4_2","ZT","2",1.5,4.5,"1",1,"1"
"65","hyviz_4_2","hyvi","gzt_4_2","ZT","2",1,2.5,"1",1,"0"
"66","tebiz_4_2","tebi","gzt_4_2","ZT","2",1,3.5,"1",1,"m"
"67","smlaz_4_2","smla","gzt_4_2","ZT","2",2,6.5,"1",1,"0"
"68","pssez_4_2","psse","gzt_4_2","ZT","2",1,2.5,"1",1,"1"
"69","pefoz_4_2","pefo","gzt_4_2","ZT","2",2,5.5,"1",1,"1"
"70","pisi_8_1","pisi","g08_1","L6","1",2,4,"1",1,"1"
"71","cafo_8_2","cafo","g08_2","L6","2",1.5,4,"1",1,"1"
"72","pisi_8_2","pisi","g08_2","L6","2",1,2.5,"1",1,"1"
"73","tebi_8_3","tebi","g08_3","L6","3",2,8.5,"1",1,"m"
"74","cafo_8_3","cafo","g08_3","L6","3",1.5,4.5,"1",1,"1"
"75","cafo_8_4","cafo","g08_4","L6","4",1,3.5,"1",1,"1"
"76","cafo_4_1","cafo","g04_1","L6","1",2,5.5,"1",1,"1"
"77","smla_4_1","smla","g04_1","L6","1",2,6.5,"1",1,"0"
"78","smla_4_2","smla","g04_2","L6","2",1.5,1.5,"1",1,"1"
"79","cafo_4_2","cafo","g04_2","L6","2",1.5,5,"1",1,"m"
"80","cafo_4_3","cafo","g04_3","L6","3",2.5,8,"1",1,"1"
"81","pefo_4_3","pefo","g04_3","L6","3",2.5,10,"1",1,"0"
"82","hyvi_4_3","hyvi","g04_3","L6","3",1,3,"1",1,"1"
"83","cafo_4_4","cafo","g04_4","L6","4",1,3,"1",1,"1"
"84","tebi_4_4","tebi","g04_4","L6","4",1,2.5,"1",1,"m"
"85","smlaz_15_1","smla","gzt15_1","ZT","1",3,19.5,"1",1,"1"
"86","tebiz_15_1","tebi","gzt15_1","ZT","1",3,19.5,"1",1,"0"
"87","pisiz_15_1","pisi","gzt15_1","ZT","1",2,11.5,"1",1,"1"
"88","aeacz_15_2","aeac","gzt15_2","ZT","2",1.5,6,"1",1,"1"
"89","pssez_15_2","psse","gzt15_2","ZT","2",1.5,7,"1",1,"1"
"90","hyviz_15_3","hyvi","gzt15_3","ZT","3",2,10.5,"1",1,"0"
"91","smlaz_15_3","smla","gzt15_3","ZT","3",2,11.5,"1",1,"1"
"92","tebiz_15_3","tebi","gzt15_3","ZT","3",1,1.5,"1",1,"1"
"93","aeacz_15_3","aeac","gzt15_3","ZT","3",1.5,5.5,"1",1,"1"
"94","pssez_15_3","psse","gzt15_3","ZT","3",1,2,"1",1,"1"
"95","pssez_15_4","psse","gzt15_4","ZT","4",1,5.5,"1",1,"1"
"96","hyviz_15_4","hyvi","gzt15_4","ZT","4",1,4.5,"1",1,"1"
"97","tebiz_16_1","tebi","gzt16_1","ZT","1",2.5,16,"1",1,"1"
"98","smlaz_16_1","smla","gzt16_1","ZT","1",2.5,11.5,"1",1,"1"
"99","pisiz_16_1","pisi","gzt16_1","ZT","1",3,19.5,"1",1,"0"
"100","pefoz_16_1","pefo","gzt16_1","ZT","1",3,25,"1",1,"1"
"101","hyviz_16_2","hyvi","gzt16_2","ZT","2",2,10.5,"1",1,"1"
"102","pssez_16_2","psse","gzt16_2","ZT","2",2,10.5,"1",1,"1"
"103","tebiz_16_2","tebi","gzt16_2","ZT","2",2,11.5,"1",1,"1"
"104","pefoz_16_2","pefo","gzt16_2","ZT","2",2.5,12.5,"1",1,"0"
"105","pefoz_16_3","pefo","gzt16_3","ZT","3",2,11.5,"1",1,"1"
"106","tebiz_16_3","tebi","gzt16_3","ZT","3",2,11.5,"1",1,"1"
"107","hyviz_16_3","hyvi","gzt16_3","ZT","3",2,11.5,"1",1,"1"
"108","smlaz_17_1","smla","gzt17_1","ZT","1",2.5,15,"1",1,"0"
"109","tebiz_17_1","tebi","gzt17_1","ZT","1",2.5,13,"1",1,"1"
"110","hyviz_17_1","hyvi","gzt17_1","ZT","1",1,5.5,"1",1,"1"
"111","pssez_17_1","psse","gzt17_1","ZT","1",1.5,6,"1",1,"1"
"112","tebiz_17_2","tebi","gzt17_2","ZT","2",1.5,8.5,"1",1,"1"
"113","pssez_17_2","psse","gzt17_2","ZT","2",1.5,7.5,"1",1,"1"
"114","hyviz_17_2","hyvi","gzt17_2","ZT","2",1.5,7.5,"1",1,"1"
"115","tebiz_17_3","tebi","gzt17_3","ZT","3",1.5,9,"1",1,"1"
"116","pefoz_17_3","pefo","gzt17_3","ZT","3",1,5,"1",1,"1"
"117","aeacz_17_3","aeac","gzt17_3","ZT","3",2,8,"1",1,"1"
"118","pefoz_17_4","pefo","gzt17_4","ZT","4",1.5,6.5,"1",1,"1"
"119","tebiz_17_4","tebi","gzt17_4","ZT","4",2,7,"1",1,"m"
"120","hyviz_17_4","hyvi","gzt17_4","ZT","4",1,5.5,"1",1,"1"
"121","tebiz_13_1","tebi","gzt13_1","ZT","1",3,20.5,"1",1,"0"
"122","aeacz_13_1","aeac","gzt13_1","ZT","1",2,7,"1",1,"1"
"123","hyviz_13_1","hyvi","gzt13_1","ZT","1",2,7,"1",1,"1"
"124","hyviz_13_2","hyvi","gzt13_2","ZT","2",1,2.5,"1",1,"1"
"125","tebiz_13_2","tebi","gzt13_2","ZT","2",1,2.5,"1",1,"1"
"126","hyviz_13_4","hyvi","gzt13_4","ZT","4",2.5,9,"1",1,"1"
"127","tebiz_13_4","tebi","gzt13_4","ZT","4",2.5,9,"1",1,"0"
"128","tebiz_20_1","tebi","gzt20_1","ZT","1",3,15,"1",1,"1"
"129","aeacz_20_1","aeac","gzt20_1","ZT","1",2.5,8.5,"1",1,"0"
"130","pisiz_20_1","pisi","gzt20_1","ZT","1",2.5,9,"1",1,"1"
"131","tebiz_20_2","tebi","gzt20_2","ZT","2",1,5,"1",1,"0"
"132","smlaz_20_2","smla","gzt20_2","ZT","2",1,6.5,"1",1,"1"
"133","smlaz_20_3","smla","gzt20_3","ZT","3",1.5,4,"1",1,"0"
"134","aeacz_20_3","aeac","gzt20_3","ZT","3",1,3,"1",1,"1"
"135","smlaz_20_4","smla","gzt20_4","ZT","4",2,12,"1",1,"1"
"136","hyviz_20_4","hyvi","gzt20_4","ZT","4",2,7.5,"1",1,"1"
"137","tebiz_20_4","tebi","gzt20_4","ZT","4",1.5,6.5,"1",1,"1"
"138","pssez_20_4","psse","gzt20_4","ZT","4",1,3,"1",1,"1"
"139","pisiz_20_4","pisi","gzt20_4","ZT","4",1,2.5,"1",1,"1"
"140","aeacz_20_4","aeac","gzt20_4","ZT","4",2,7.5,"1",1,"1"
"141","tebiz_11_1","tebi","gzt11_1","ZT","1",1,5.5,"1",1,"0"
"142","smlaz_11_1","smla","gzt11_1","ZT","1",2.5,16,"1",1,"1"
"143","pefoz_11_1","pefo","gzt11_1","ZT","1",3,12.5,"1",1,"1"
"144","cafoz_11_2","cafo","gzt11_2","ZT","2",1.5,5.5,"1",1,"1"
"145","pisiz_11_2","pisi","gzt11_2","ZT","2",1.5,4,"1",1,"1"
"146","smlaz_11_2","smla","gzt11_2","ZT","2",2,7,"1",1,"1"
"147","tebiz_11_2","tebi","gzt11_2","ZT","2",1,2.5,"1",1,"0"
"148","pefoz_11_4","pefo","gzt11_4","ZT","4",2.5,8.5,"1",1,"1"
"149","tebiz_28_1","tebi","gzt28_1","ZT","1",3,16,"1",1,"1"
"150","aeacz_28_1","aeac","gzt28_1","ZT","1",3,8.5,"1",1,"1"
"151","tebiz_28_2","tebi","gzt28_2","ZT","2",2,8,"1",1,"m"
"152","aeacz_28_2","aeac","gzt28_2","ZT","2",1.5,2.5,"1",1,"1"
"153","pssez_28_2","psse","gzt28_2","ZT","2",1,3.5,"1",1,"0"
"154","hyviz_28_2","hyvi","gzt28_2","ZT","2",1,3.5,"1",1,"0"
"155","pisiz_28_2","pisi","gzt28_2","ZT","2",1,3.5,"1",1,"1"
"156","aeacz_28_3","aeac","gzt28_3","ZT","3",3,7.5,"1",1,"1"
"157","hyviz_28_3","hyvi","gzt28_3","ZT","3",2.5,7.5,"1",1,"1"
"158","smlaz_28_4","smla","gzt28_4","ZT","4",1,5.5,"1",1,"0"
"159","pssez_28_4","psse","gzt28_4","ZT","4",1,4,"1",1,"1"
"160","cafo_32_1","cafo","g32_1","L6","1",3,21,"1",1,"1"
"161","tebi_32_1","tebi","g32_1","L6","1",3,22.5,"1",1,"1"
"162","smla_32_1","smla","g32_1","L6","1",1,3.5,"1",1,"m"
"163","cafo_32_2","cafo","g32_2","L6","2",1.5,3,"1",1,"1"
"164","tebi_32_2","tebi","g32_2","L6","2",2.5,18,"1",1,"1"
"165","tebi_32_3","tebi","g32_3","L6","3",1.5,5,"1",1,"1"
"166","cafo_32_3","cafo","g32_3","L6","3",1.5,2.5,"1",1,"1"
"167","cafo_32_4","cafo","g32_4","L6","4",1,2.5,"1",1,"1"
"168","tebi_32_4","tebi","g32_4","L6","4",1.5,6,"1",1,"1"
"169","smla_25_1","smla","g25_1","L6","1",1,5.5,"1",1,"1"
"170","tebi_25_1","tebi","g25_1","L6","1",1,5,"1",1,"1"
"171","cafo_25_2","cafo","g25_2","L6","2",1.5,5.5,"1",1,"1"
"172","cafo_25_3","cafo","g25_3","L6","3",1,1.5,"1",1,"1"
"173","cafo_25_4","cafo","g25_4","L6","4",1,4,"1",1,"1"
"174","smla_25_4","smla","g25_4","L6","4",2,7.5,"1",1,"1"
"175","pisi_20_1","pisi","g20_1","L6","1",1.5,7.5,"1",1,"1"
"176","cafo_20_1","cafo","g20_1","L6","1",1.5,6,"1",1,"1"
"177","cafo_20_2","cafo","g20_2","L6","2",1,2,"1",1,"1"
"178","cafo_20_3","cafo","g20_3","L6","3",1,4.5,"1",1,"1"
"179","cafo_20_4","cafo","g20_4","L6","4",1,2,"1",1,"1"
"180","tebi_27_1","tebi","g27_1","L6","1",1,2.5,"1",1,"1"
"181","smla_27_2","smla","g27_2","L6","2",1,5,"1",1,"1"
"182","smla_27_3","smla","g27_3","L6","3",1.5,4.5,"1",1,"1"
"183","cafo_27_3","cafo","g27_3","L6","3",1.5,6.5,"1",1,"1"
"184","cafo_27_4","cafo","g27_4","L6","4",1,4,"1",1,"1"
"185","smla_30_1","smla","g30_1","L6","1",3,8,"1",1,"1"
"186","tebi_30_1","tebi","g30_1","L6","1",1.5,5.5,"1",1,"0"
"187","cafo_30_1","cafo","g30_1","L6","1",3,8.5,"1",1,"1"
"188","aeac_30_1","aeac","g30_1","L6","1",1,4,"1",1,"1"
"189","pisi_30_2","pisi","g30_2","L6","2",3,5.5,"1",1,"1"
"190","cafo_30_2","cafo","g30_2","L6","2",2,5.5,"1",1,"1"
"191","smla_30_2","smla","g20_2","L6","2",2,7,"1",1,"1"
"192","cafo_30_3","cafo","g30_3","L6","3",1.5,5,"1",1,"1"
"193","cafo_30_4","cafo","g30_4","L6","4",1,4,"1",1,"1"
