"","tag","species","Amax","Rd","Trmax","Tr0","FvFm","Fv'/Fm'","NPQ","PhiPS2","qP","qN","SLA","LDMC","thickness","spad","£_15N","N%","£_13C","C%","LDMC.extract","Chlorophylltotal","Chlorophylla","Chlorophyllb","chlorophylla/b"
"1","ae1","aeac",1.3751511686262,-0.4753906,0.260632666263721,0.0980830956650415,0.778,0.302,3.396,0.024,0.079,0.918,339.520686145251,0.0468586387434555,0.8415,36.95,1.842,2.85857110953187,-32.654625,37.3370088534653,0.0789473684210504,6016.0714285716,4264.50000000012,1751.57142857148,2.4346709077563
"2","ae2","aeac",1.85336282627265,-0.2997488,0.287581894779118,0.0549221999835359,0.75,0.286,2.983,0.029,0.101,0.913,240.214456640625,0.0624161891990735,0.9065,50.9,-0.871,2.7524409897206,-32.405625,40.650116920908,0.14534023668639,7985.94402035626,5715.18575063615,2270.75826972011,2.51686224238241
"3","ae3","aeac",3.22005216001854,-0.7372671,0.491774315908592,0.0734675204444136,0.757,0.302,3.013,0.037,0.123,0.909,214.293650213675,0.0610647181628393,1.046,53.3,2.371,2.36642309801348,-32.815625,39.6171547652833,0.131061924894306,7100.82580645153,5179.57343453504,1921.25237191649,2.695936
"4","ae4","aeac",1.653391,-0.9397448,0.279694487590189,0.0702726133982509,0.753,0.318,2.691,0.032,0.1,0.894,289.604431724138,0.0556384566190578,0.8795,47.15,-0.56,2.60576122937463,-33.282625,41.0402019146117,0.0991803278688543,9879.42148760313,7083.71900826433,2795.70247933879,2.53378857750976
"5","ca1","cafo",3.91604908723793,-0.5054415,0.740224370443032,0.0873083935718397,0.797,0.369,2.264,0.062,0.169,0.86,257.777896836158,0.406709558823529,0.089,55,-1.651,2.64135374323849,-35.225625,45.7676537533013,0.57377049180327,8891.55000000013,6534.19285714296,2357.35714285718,2.77182983365149
"6","ca2","cafo",1.59590238474209,-0.7028535,0.297363999594188,0.202393309785354,0.804,0.393,2.369,0.048,0.122,0.858,238.668119120135,0.407586206896552,0.094,58.95,-1.42,2.54446269345187,-30.819625,44.4854297837877,0.530769230769237,9159.072463768,6737.97101449267,2421.10144927533,2.78301886792453
"7","ca3","cafo",1.99347726508529,-0.8495721,0.588222471569184,0.247911706873216,0.804,0.396,2.435,0.054,0.136,0.86,218.70132028169,0.389681668496158,0.105,52.6,-1.138,2.78266556811865,-29.056625,49.769748156275,0.507910074937559,9314.81163934414,6911.96409836056,2402.84754098358,2.87657205897101
"8","ca4","cafo",4.20117397449006,-0.5102124,1.08876593362123,0.692911351057501,0.795,0.373,2.281,0.072,0.192,0.859,242.617040589198,0.434875444839858,0.085,54.85,-1.787,2.66706595800792,-32.223625,45.3001842581083,0.640599001663893,9480.25350649351,7097.81194805195,2382.44155844156,2.97921765295888
"9","ca5","cafo",3.84937858676631,-0.2154494,1.18295688403521,0.757448835097079,0.801,0.401,1.855,0.057,0.142,0.822,249.782979661017,0.494610778443114,0.077,55.25,-1.685,2.37833077547906,-35.602625,40.6575620235382,0.535947712418306,9763.43902439016,7502.21951219505,2261.2195121951,3.31777586020926
"10","ca6","cafo",6.218409,-0.1933564,2.09689835940008,1.08890507015021,0.797,0.388,2.338,0.087,0.224,0.858,227.830743420127,0.421912114014252,0.0945,54.1,-1.467,2.59232262975849,-32.798625,57.9451425228048,0.596573208722748,12851.9373368145,9935.59268929492,2916.34464751955,3.40686506231199
"11","hy1","hyvi",5.30684885033884,-0.7909173,1.51414477470236,0.988205642726782,0.782,0.439,2.149,0.07,0.159,0.83,200.955457684631,0.171048139296688,0.362,58.55,0.155,2.83551026889926,-33.273625,40.9800211400215,0.217886178861786,6721.13432835828,4941.43283582095,1779.70149253733,2.77655149278765
"12","hy2","hyvi",4.55052491740713,-0.7043671,1.24013567050262,0.522284005818985,0.795,0.455,2.277,0.047,0.103,0.834,247.952136531792,0.16351606805293,0.299,53.05,-0.334000000000001,2.21481396264451,-32.920625,37.5929899371212,0.255451713395638,8448.42256097562,5796.34939024391,2652.07317073171,2.18559180576631
"13","hy3","hyvi",5.19271811035296,-0.8774379,1.74817940391099,0.995473129464738,0.791,0.414,2.378,0.058,0.141,0.852,244.550872851986,0.166867469879518,0.32,50.35,1.606,2.25460051949967,-31.756625,46.9565169395266,0.265906932573604,7820.94374999987,5618.75624999991,2202.18749999996,2.55144316730524
"14","hy4","hyvi",3.59989611424335,-0.3937981,1.06403606325693,0.419150944258544,0.773,0.382,2.702,0.037,0.096,0.876,363.183689848485,0.143478260869565,0.264,43.25,-1.27,2.9167137109905,-33.120625,48.9994125373438,0.192244224422441,9488.98326180263,6780.38240343351,2708.60085836911,2.50327854046243
"15","hy5","hyvi",1.3921242755614,-0.3594807,0.948488478162436,0.610637079283701,0.778,0.384,2.66,0.016,0.041,0.874,274.609786444444,0.146341463414634,0.356,37.3,-0.787,2.40881510329311,-33.171625,38.0077456411473,0.19909954977489,8212.9648241205,5842.8341708542,2370.1306532663,2.46519497260715
"16","hy6","hyvi",5.19132580849063,-0.6492924,1.62969145613574,0.610300691940458,0.788,0.409,2.697,0.044,0.107,0.868,296.0760198125,0.154888673765731,0.337,51.1,0.625,2.82007312492238,-32.200625,49.1343938890774,0.140221402214023,13694.6140350876,9692.54385964906,4002.07017543857,2.42188253447777
"17","pe1","pefo",8.21776299112769,-0.5409818,2.4457665893346,0.750290314151522,0.782,0.504,0.854,0.07,0.14,0.629,459.842717666667,0.257510729613734,0.096,44.6,1.271,3.23183405910811,-33.786625,44.612536124779,0.371693121693125,14606.3943060497,10407.0419928825,4199.35231316722,2.47824931484096
"18","pe2","pefo",5.82689968855087,-0.5713625,1.70106330584065,0.555342984162722,0.791,0.42,2.027,0.054,0.13,0.829,427.2299625,0.238167938931298,0.122,45.95,-0.912,3.21993929634073,-32.534625,44.8415458326629,0.36482939632546,10577.5338129496,7419.07338129495,3158.46043165467,2.348952453841
"19","pe4","pefo",5.41971194756908,-0.5557223,1.32794461733235,0.651469188897372,0.79,0.471,1.319,0.05,0.106,0.737,378.326569148936,0.265349329569513,0.108,48.05,-0.127,2.83365312777723,-33.005625,53.4011433648485,0.314108251996444,14798.2372881359,10518.9152542375,4279.3220338984,2.45807984790874
"20","pe5","pefo",5.93918629076328,-0.718979,1.4123163566751,0.705925381365336,0.793,0.412,1.93,0.067,0.162,0.824,359.223475718016,0.272403982930299,0.11,44.7,-0.354000000000001,2.51837304099339,-32.616625,43.4578153373443,0.301781737193763,9673.39926199265,7360.63173431737,2312.76752767529,3.18260769672602
"21","pe6","pefo",7.30176444593324,-0.3221021,2.56429864780844,1.4639341841124,0.792,0.434,1.934,0.092,0.211,0.817,393.709223869801,0.233727810650888,0.1355,49.75,-1.097,3.27833494521337,-31.316625,52.0204186896036,0.280203784570597,13940.5745454546,10457.4109090909,3483.16363636364,3.00227379498262
"22","pi1","pisi",5.16251086229063,-0.5312152,1.81953087743128,1.20219209349482,0.776,0.401,1.792,0.053,0.131,0.817,691.823378205128,0.127450980392157,0.1,42.45,1.449,4.98305275075638,-34.908625,52.3692761641109,0.182041216879292,22208.0215633425,16159.5040431268,6048.51752021569,2.67164705882353
"23","pi2","pisi",3.88816200291059,-0.5990697,1.36279457279991,0.810535182724474,0.767,0.36,2.214,0.034,0.094,0.86,651.196632142857,0.128374936321956,0.1095,34.2,2.251,4.64327707193904,-34.342625,50.8330965277411,0.185894645189377,14554.062295082,10767.043559719,3787.018735363,2.84314504683508
"24","pi3","pisi",2.8923503413908,-0.520025,0.677056252377692,0.292416367903785,0.755,0.313,1.718,0.024,0.076,0.846,545.851189632829,0.144777986241401,0.121,35.2,0.858,3.72622045769979,-33.293625,48.5333452847849,0.19759450171821,13281.8043478263,9660.43478260883,3621.36956521744,2.66761914481069
"25","pi4","pisi",4.2955126379317,-0.7873174,1.27269124190055,0.717159665549528,0.763,0.369,2.06,0.041,0.111,0.848,658.309946153846,0.138790035587189,0.102,42,1.59125,5.19361790566628,-34.90225,43.9830041285537,0.168865435356205,24729.0859374993,17780.4921874995,6948.5937499998,2.5588619549819
"26","pi5","pisi",4.23216006963372,-0.5957593,1.34948453756384,0.792332656211867,0.775,0.36,2.123,0.033,0.091,0.855,761.868622885572,0.112857944974733,0.1065,35.05,1.89225,4.80481574062859,-35.06725,42.3631913797034,0.187421383647798,15147.6644295303,10876.489932886,4271.17449664432,2.54648690692248
"27","pi6","pisi",3.97761728653033,-0.7766939,1.14320691524206,0.590971752186428,0.766,0.358,2.222,0.036,0.102,0.861,608.84598,0.147058823529412,0.121,43.7,1.75725,4.47825344593246,-35.30325,43.535161934224,0.169054441260741,20110.0231638423,14757.4751412433,5352.54802259899,2.75709345884161
"28","ps1","psse",3.32246200747357,-0.6619036,1.08318451644585,0.504457617201334,0.783,0.323,2.744,0.031,0.095,0.895,296.189768780488,0.184684684684685,0.204,50.35,7.033,2.6999378848738,-33.572625,44.1948702987366,0.19880715705765,9838.67500000021,7120.17500000015,2718.50000000006,2.61915578443995
"29","ps2","psse",3.14039622619528,-0.6294294,0.859141551921228,0.532166435407718,0.777,0.33,2.602,0.03,0.091,0.887,330.364837586207,0.152631578947368,0.245,49.35,-1.155,2.03082091149935,-33.241625,40.9123816607707,0.243664717348931,8866.89599999987,6389.61599999991,2477.27999999996,2.57928695989149
"30","ps3","psse",3.13766660982446,-0.5259405,1.17611055469486,0.519683814767996,0.778,0.32,2.984,0.023,0.07,0.903,387.1588624,0.132978723404255,0.199,48.65,-1.936,2.37704875952399,-34.037625,44.359373111077,0.157676348547719,16464.4578947367,11847.4578947368,4616.99999999997,2.56605109264389
"31","ps4","psse",3.573406,-0.4595326,1.11696517008484,0.819981478802441,0.767,0.348,2.349,0.043,0.124,0.871,295.86722,0.182389937106918,0.3065,44.1,1.739,2.53553139454651,-33.579625,43.8460571548951,0.280467445742904,7536.90000000003,5449.97142857145,2086.92857142858,2.6114796180306
"32","ps5(weired)","psse",3.71625726552281,-0.8964511,1.03789861692357,0.403660013139301,0.745,0.33,2.668,0.005,0.016,0.89,326.884405384615,0.18705035971223,0.158,54.2,3.299,2.45830186932675,-34.212625,43.6889289309058,0.311811023622048,4689.99999999999,3456.54545454545,1233.45454545454,2.80232900943396
"33","ps6","psse",4.30746711868448,-0.6847836,1.17511765939289,0.57518126231032,0.785,0.358,2.892,0.048,0.136,0.89,307.502633333333,0.167597765363129,0.211,47.25,3.313,2.35824318266309,-32.602625,43.3367983965038,0.237609329446067,11113.7852760735,8281.82208588947,2831.96319018401,2.92441021641646
"34","sm1","smla",4.57620857062424,-0.602711,1.24434867683136,0.431957751105142,0.794,0.384,2.246,0.041,0.108,0.854,279.811091962906,0.269471053727613,0.1375,43.95,-0.0827500000000001,2.00757540948421,-32.90325,47.9156740778943,0.440052700922259,7703.4287425151,5714.21317365279,1989.21556886231,2.87259624502181
"35","sm2","smla",1.3192650772098,-0.3223944,0.134771364639224,0.0137911343487025,0.776,0.393,1.9,0.021,0.053,0.829,376.234201070336,0.216269841269841,0.138,35.15,2.71525,2.33543256461551,-33.46025,46.3049045948866,0.569696969696961,8790.3111702129,6486.49468085116,2303.81648936174,2.8155431262879
"36","sm3","smla",3.4215233764849,-1.069903,0.586169251899733,0.190746520289493,0.789,0.338,3.031,0.042,0.123,0.9,264.201995941375,0.260422783323547,0.154,41.85,0.15125,2.26378009256671,-32.85425,46.77110952561,0.381111111111111,7873.18950437318,5900.71137026239,1972.47813411079,2.9915218162469
"37","sm4","smla",2.55603076022928,-0.5325849,0.701736371724051,0.233295745981939,0.793,0.349,2.509,0.028,0.08,0.878,353.766694745763,0.256521739130435,0.1185,37.15,-0.33175,2.08135961836068,-32.43125,47.3288162424144,0.427199999999999,5880.17977528091,4421.75280898877,1458.42696629214,3.03186440677966
"38","sm6","smla",2.34614569969314,-0.4554215,0.401362165210779,0.136747573024198,0.772,0.375,2.421,0.029,0.077,0.866,427.440720071685,0.183311432325887,0.1325,33.3,3.80125,2.51127157459194,-33.07525,46.5601068131222,0.390769230769222,8226.37913385845,6114.46181102376,2111.91732283469,2.89521836149187
"39","te1","tebi",3.29503013712713,-0.6546459,0.706387703271297,0.146649365420655,0.775,0.439,2.155,0.035,0.08,0.831,564.167236504425,0.0835181079083518,0.219,35.55,3.01625,3.87250040896045,-31.89325,40.4370618213502,0.168012219070479,7622.22857142853,6081.70909090906,1540.51948051947,3.94783004552352
"40","te2","tebi",3.65416414102693,-0.6627068,0.615910551094715,0.114962052935353,0.789,0.508,1.782,0.037,0.072,0.778,506.845765745856,0.0915991902834008,0.2155,38.05,3.11825,3.86030924418088,-32.02425,42.6754074158872,0.147024504084013,7971.88095238099,6299.97619047622,1671.90476190477,3.7681429792082
"41","te3","tebi",3.3181533447056,-0.6831597,0.675829752883276,0.0863204094220206,0.785,0.431,2.223,0.028,0.064,0.838,552.007601831502,0.0900395778364116,0.212,36.35,3.05825,3.88062758371442,-33.95825,40.8798710235563,0.169446883230907,5592.13678756467,4599.61865284967,992.518134715009,4.63429179978701
"42","te4","tebi",5.217814,-0.4654695,1.65959154227111,0.200337494447448,0.785,0.506,1.573,0.056,0.111,0.757,509.464187323944,0.0897976391231029,0.2205,39.5,4.15125,4.19359456285654,-32.63325,42.5014473239293,0.1491116751269,7521.56680851083,5819.90297872355,1701.66382978728,3.42012498405815
"43","te6","tebi",4.26696486384314,-0.2513558,1.06163544926156,0.581069518250439,0.777,0.411,1.95,0.04,0.098,0.826,560.676590291262,0.0864335664335664,0.203,33.1,5.05125,3.83592783496144,-32.93025,41.3248495634809,0.157082748948108,7174.38616071422,5404.11830357138,1770.26785714284,3.05271221062188
